bedrooms,property_type,locality,postal_code,kitchen,facades,price,furnished,terraceSurface,fireplace,buildingState,gardenSurface,pool,livingArea,surfaceOfThePlot,energy_certificate,province,buildingStateLabel
2.0,APARTMENT,ANTWERPEN,2018.0,1.0,4.0,315000.0,0.0,0.0,0.0,AS_NEW,20.0,0.0,92.0,,C,Antwerp,
3.0,APARTMENT,Antwerpen,2050.0,1.0,2.0,449000.0,0.0,18.0,0.0,GOOD,0.0,0.0,142.0,,B,Antwerp,
2.0,APARTMENT,BRUXELLES,1000.0,1.0,2.0,695000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,150.0,,D,Brussels,
3.0,HOUSE,LODELINSART,6042.0,1.0,3.0,230000.0,0.0,0.0,0.0,GOOD,0.0,0.0,168.0,722.0,G,Hainaut,
3.0,HOUSE,WETTEREN,9230.0,1.0,3.0,395000.0,0.0,37.0,0.0,GOOD,166.0,0.0,141.0,428.0,C,East Flanders,
3.0,HOUSE,KESSEL,2560.0,1.0,4.0,475000.0,0.0,20.0,1.0,GOOD,745.0,0.0,140.0,1213.0,C,Antwerp,
4.0,HOUSE,Fléron,4620.0,1.0,2.0,495000.0,0.0,0.0,0.0,GOOD,80.0,0.0,421.0,384.0,C,Liège,
3.0,HOUSE,Sint-Martens-Latem,9830.0,1.0,4.0,815000.0,0.0,26.0,0.0,TO_BE_DONE_UP,1010.0,0.0,171.0,1163.0,F,East Flanders,
3.0,HOUSE,Beerzel,2580.0,1.0,,285000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,134.0,695.0,F,Antwerp,
3.0,HOUSE,Gent,9000.0,0.0,,399000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,165.0,146.0,F,East Flanders,
5.0,HOUSE,LAKEN (BRU.),1020.0,1.0,2.0,499000.0,0.0,0.0,0.0,GOOD,60.0,0.0,253.0,163.0,E,Brussels,
2.0,APARTMENT,Woluwe-Saint-Pierre,1150.0,1.0,2.0,325000.0,0.0,9.0,0.0,GOOD,0.0,0.0,100.0,,F,Brussels,
6.0,HOUSE,HOBOKEN,2660.0,1.0,2.0,280000.0,0.0,14.0,0.0,GOOD,55.0,0.0,88.0,155.0,F,Antwerp,
3.0,HOUSE,Niel,2845.0,1.0,2.0,335000.0,0.0,0.0,0.0,GOOD,0.0,0.0,133.0,85.0,B,Antwerp,
3.0,HOUSE,LUMMEN,3560.0,1.0,4.0,369000.0,0.0,0.0,1.0,GOOD,0.0,0.0,193.0,1323.0,D,Limburg,
1.0,APARTMENT,Borgerhout,2140.0,1.0,2.0,165000.0,0.0,4.0,0.0,TO_BE_DONE_UP,0.0,0.0,69.0,,C,Antwerp,
5.0,HOUSE,ZWIJNDRECHT,2070.0,1.0,2.0,365000.0,0.0,0.0,0.0,GOOD,0.0,0.0,199.0,335.0,C,Antwerp,
3.0,HOUSE,DEURNE,2100.0,1.0,2.0,529000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,180.0,263.0,B,Antwerp,
5.0,HOUSE,Oostende,8400.0,1.0,,235000.0,0.0,0.0,0.0,TO_RENOVATE,0.0,0.0,234.0,154.0,F,West Flanders,
6.0,HOUSE,VELTEM-BEISEM,3020.0,1.0,4.0,750000.0,0.0,0.0,1.0,TO_RESTORE,1100.0,0.0,352.0,1392.0,F,Flemish Brabant,
2.0,APARTMENT,Laeken,1020.0,1.0,2.0,249000.0,0.0,8.0,0.0,GOOD,0.0,0.0,92.0,,D,Brussels,
2.0,APARTMENT,Jette,1090.0,1.0,2.0,249000.0,0.0,8.0,0.0,GOOD,0.0,0.0,92.0,,D,Brussels,
