"MONT-SAINT-GUIBERT","7,0%","","50.635 4.617","Mont-Saint-Guibert"
"NIVELLES","8,7%","","50.5969 4.3323","Nijvel"
"PERWEZ","6,7%","","50.6345 4.7795","Perwijs"
"RIXENSART","7,7%","","50.722 4.504","Rixensart"
"TUBIZE","10,1%","","50.6902 4.1905","Tubeke"
"VILLERS-LA-VILLE","6,0%","","50.5623 4.5266","Villers-la-Ville"
"WATERLOO","8,5%","","50.7095 4.4037","Waterloo"
"WAVRE","9,2%","","50.7158 4.5932","Waver"
"CHASTRE","7,8%","","50.5894 4.6231","Chastre"
"HELECINE","7,6%","","50.7465 4.9965","Hélécine"
"LASNE","8,9%","","50.6823 4.4615","Lasne"
"ORP-JAUCHE","6,1%","","50.6898 4.9632","Orp-Jauche"
"OTTIGNIES-LOUVAIN-LA-NEUVE","12,3%","","50.6725 4.5625","Ottignies-Louvain-la-Neuve"
"RAMILLIES","6,5%","","50.6595 4.886","Ramillies"
"REBECQ","7,8%","","50.6714 4.1304","Rebecq"
"WALHAIN","5,7%","","50.6313 4.6973","Walhain"
"BEERNEM","4,7%","","51.15 3.342","Beernem"
"BLANKENBERGE","8,1%","","51.302 3.1405","Blankenberge"
"BRUGES","6,6%","","51.2605 3.222","Brugge"
"DAMME","5,9%","","51.2522 3.3274","Damme"
"JABBEKE","4,2%","","51.191 3.087","Jabbeke"
"OOSTKAMP","5,0%","","51.1193 3.2303","Oostkamp"
"TORHOUT","5,8%","","51.059 3.089","Torhout"
"ZEDELGEM","4,4%","","51.1255 3.1365","Zedelgem"
"ZUIENKERKE","5,7%","","51.252 3.128","Zuienkerke"
"KNOKKE-HEIST","8,5%","","51.3325 3.3077","Knokke-Heist"
"DIXMUDE","6,8%","","51.0455 2.847","Diksmuide"
"HOUTHULST","5,0%","","50.9701 2.8963","Houthulst"
"KOEKELARE","5,1%","","51.089 2.9639","Koekelare"
"KORTEMARK","5,2%","","51.0248 3.0018","Kortemark"
"LO-RENINGE","7,6%","","50.9605 2.776","Lo-Reninge"
"YPRES","6,8%","","50.8665 2.8415","Ieper"
"MESSINES","10,3%","","50.76 2.899","Mesen"
"POPERINGE","7,1%","","50.866 2.67","Poperinge"
"WERVIK","8,2%","","50.8102 3.0565","Wervik"
"ZONNEBEKE","5,3%","","50.8645 3.0025","Zonnebeke"
"HEUVELLAND","7,4%","","50.7756 2.8303","Heuvelland"
