iter	Passed	Remaining
895	4834	3259
896	4839	3253
897	4842	3246
898	4848	3241
899	4852	3234
900	4856	3228
901	4859	3221
902	4865	3216
903	4869	3210
904	4874	3204
905	4881	3200
906	4889	3196
907	4894	3191
908	4900	3186
909	4905	3180
910	4911	3175
911	4916	3169
912	4921	3164
913	4927	3159
914	4931	3152
915	4934	3146
916	4940	3140
917	4945	3135
918	4951	3130
919	4954	3123
920	4960	3118
921	4965	3112
922	4971	3107
923	4975	3101
924	4982	3097
925	4988	3092
926	4994	3087
927	4999	3081
928	5004	3076
929	5010	3070
930	5015	3065
931	5021	3060
932	5027	3055
933	5033	3050
934	5039	3045
935	5044	3039
936	5049	3033
937	5054	3028
938	5059	3022
939	5064	3017
940	5068	3011
941	5074	3006
942	5077	2999
943	5081	2992
944	5086	2987
945	5090	2980
946	5095	2975
947	5100	2969
948	5105	2964
949	5109	2957
950	5114	2952
951	5120	2947
952	5126	2942
953	5131	2936
954	5136	2931
